,交易时间,月份,来源,收/支,支付状态,类型,交易对方,商品,金额,逻辑1,逻辑2,乘后金额
0,2023-12-08 11:43:50,12,支付宝,不计收支,交易成功,即时到账交易,上海逸刻新零售网络科技有限公司,照烧鸡骰子牛肉双拼饭,19.9,-1,1,-19.9
1,2023-12-08 08:49:23,12,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--静安寺,4.0,-1,1,-4.0
2,2023-12-08 08:39:57,12,支付宝,不计收支,交易成功,即时到账交易,麦当劳,上海金拱门食品有限公司,13.5,-1,1,-13.5
3,2023-12-07 19:40:18,12,支付宝,不计收支,交易成功,即时到账交易,上海醉食汇,上海醉食汇安盛街店,4.2,-1,1,-4.2
4,2023-12-07 19:29:46,12,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,静安寺--三林东,4.0,-1,1,-4.0
5,2023-12-07 11:52:29,12,支付宝,不计收支,交易成功,即时到账交易,上海逸刻新零售网络科技有限公司,照烧鸡骰子牛肉双拼饭,19.9,-1,1,-19.9
6,2023-12-07 08:48:28,12,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--静安寺,4.0,-1,1,-4.0
7,2023-12-07 08:35:36,12,支付宝,不计收支,交易成功,即时到账交易,麦当劳,上海金拱门食品有限公司,12.0,-1,1,-12.0
8,2023-12-06 19:34:02,12,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,静安寺--三林东,4.0,-1,1,-4.0
9,2023-12-06 12:02:52,12,支付宝,不计收支,交易成功,即时到账交易,上海逸刻新零售网络科技有限公司,1荤2素特惠套餐,19.9,-1,1,-19.9
10,2023-12-06 11:54:59,12,支付宝,不计收支,交易成功,即时到账交易,美团,美团订单-23120611100400000020856981477011,19.8,-1,1,-19.8
11,2023-12-06 08:49:29,12,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--静安寺,4.0,-1,1,-4.0
12,2023-12-06 08:31:58,12,支付宝,不计收支,交易成功,即时到账交易,麦当劳,上海金拱门食品有限公司,12.0,-1,1,-12.0
13,2023-12-05 19:31:01,12,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,静安寺--三林东,4.0,-1,1,-4.0
14,2023-12-05 11:54:06,12,支付宝,不计收支,交易成功,即时到账交易,上海逸刻新零售网络科技有限公司,1荤2素特惠套餐,19.9,-1,1,-19.9
15,2023-12-05 09:02:31,12,支付宝,不计收支,交易成功,即时到账交易,美团,美团订单-23120511100400000020682448159011,29.7,-1,1,-29.7
16,2023-12-05 08:49:27,12,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--静安寺,4.0,-1,1,-4.0
17,2023-12-05 08:35:27,12,支付宝,不计收支,交易成功,即时到账交易,麦当劳,上海金拱门食品有限公司,12.5,-1,1,-12.5
18,2023-12-04 19:49:53,12,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,静安寺--三林东,4.0,-1,1,-4.0
19,2023-12-04 12:36:36,12,支付宝,不计收支,交易成功,即时到账交易,麦当劳,上海金拱门食品有限公司,10.9,-1,1,-10.9
20,2023-12-04 12:34:15,12,支付宝,不计收支,交易成功,即时到账交易,luckincoffee,订单付款,9.9,-1,1,-9.9
21,2023-12-04 12:26:15,12,支付宝,不计收支,交易成功,即时到账交易,上海公共支付一网通办,公安证照业务,40.0,-1,1,-40.0
22,2023-12-04 08:49:14,12,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--静安寺,4.0,-1,1,-4.0
23,2023-12-04 08:35:12,12,支付宝,不计收支,交易成功,即时到账交易,麦当劳,上海金拱门食品有限公司,12.5,-1,1,-12.5
24,2023-12-04 00:43:42,12,支付宝,不计收支,交易成功,即时到账交易,上海公共交通卡股份有限公司,上海地铁-虹桥火车站-2023-12-03 21:53:05-三林东-2023-12-03 22:43:24,5.0,-1,1,-5.0
25,2023-12-03 22:03:26,12,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--虹桥火车站,3.0,-1,1,-3.0
26,2023-12-03 19:14:22,12,支付宝,不计收支,交易成功,即时到账交易,绍兴京越地铁有限公司,地铁-黄酒小镇-19:14:21-正常行程票款扣费,4.0,-1,1,-4.0
27,2023-12-03 12:01:17,12,支付宝,不计收支,交易成功,即时到账交易,浙江越秀外国语学院一楼文苑餐厅,浙江越秀外国语学院_食堂,14.0,-1,1,-14.0
28,2023-12-03 08:17:26,12,支付宝,不计收支,交易成功,即时到账交易,拼多多平台商户,商户单号XP1223120308200425349715004321,25.2,-1,1,-25.2
29,2023-12-01 19:43:44,12,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,静安寺--三林东,4.0,-1,1,-4.0
30,2023-12-01 11:47:39,12,支付宝,不计收支,交易成功,即时到账交易,上海逸刻新零售网络科技有限公司,照烧鸡骰子牛肉双拼饭,19.9,-1,1,-19.9
31,2023-12-01 08:48:41,12,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--静安寺,4.0,-1,1,-4.0
32,2023-12-01 08:38:41,12,支付宝,不计收支,交易成功,即时到账交易,美团,美团订单-23120111100400000020038364852011,14.5,-1,1,-14.5
33,2023-12-01 08:35:54,12,支付宝,不计收支,交易成功,即时到账交易,麦当劳,上海金拱门食品有限公司,12.5,-1,1,-12.5
34,2023-11-30 20:52:46,11,支付宝,不计收支,交易成功,即时到账交易,上海盒马,盒马北纬39度缢蛏 散称(40-50只/500g)等2类商品,30.02,-1,1,-30.02
35,2023-11-30 20:15:54,11,支付宝,不计收支,交易成功,即时到账交易,麦当劳,上海金拱门食品有限公司,13.0,-1,1,-13.0
36,2023-11-30 19:14:41,11,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,静安寺--三林东,4.0,-1,1,-4.0
37,2023-11-30 12:04:44,11,支付宝,不计收支,交易成功,即时到账交易,美团,美团订单-23113011100400000029927008174011,14.5,-1,1,-14.5
